SK|RESULT_CACHE|RESULT_CACHE_TS
17661|The total sales in the Last Complete Year timeframe is $3,768,305,381|2024-01-09 14:45:57.926753
17662|The total sales in the Period to Date timeframe is $9,736,924|2024-01-09 14:45:58.021635
17663|The total sales in the Period to Date timeframe is $9,736,924|2024-01-09 14:45:58.101288
17664|The total sales in the Rolling 13 Weeks timeframe is $931,384,247|2024-01-09 14:45:58.180097
17665|The total sales in the Last Complete Week timeframe is $71,427,729|2024-01-09 14:45:58.274947
17666|The total sales in the Last Complete Week timeframe is $71,427,729|2024-01-09 14:45:58.368715
17667|The total sales in the Last Complete Week timeframe is $71,427,729|2024-01-09 14:45:58.447570
17668|The total sales in the Year to Date timeframe is $2,579,732,495|2024-01-09 14:45:58.537658
17669|The total sales in the Year to Date timeframe is $2,579,732,495|2024-01-09 14:45:58.631956
17670|The total sales in the Week To Date timeframe is $9,736,924|2024-01-09 14:45:58.703604
17671|The total sales in the Week To Date timeframe is $9,736,924|2024-01-09 14:45:58.809826
17672|The total sales in the Rolling 13 Periods timeframe is $3,739,727,521|2024-01-09 14:45:58.903993
17793|The total sales in the Last Complete Year timeframe in the FLORAL SEAFOOD departments is $145,128,714|2024-01-09 14:45:59.385515
17794|The total sales in the Last Complete Year timeframe in the FLORAL GM departments is $112,516,287|2024-01-09 14:45:59.838876
17795|The total sales in the Last Complete Year timeframe in the FLORAL PRODUCE departments is $459,529,169|2024-01-09 14:46:00.511447
17796|The total sales in the Last Complete Year timeframe in the FLORAL DELI departments is $291,917,300|2024-01-09 14:46:00.827114
17797|The total sales in the Last Complete Year timeframe in the FLORAL BAKERY departments is $143,534,147|2024-01-09 14:46:01.122717
17798|The total sales in the Last Complete Year timeframe in the FLORAL MEAT departments is $474,800,585|2024-01-09 14:46:01.336684
17799|The total sales in the Last Complete Year timeframe in the FLORAL GROCERY departments is $1,905,666,670|2024-01-09 14:46:01.528576
17800|The total sales in the Last Complete Year timeframe in the FLORAL PHARMACY departments is $428,786,835|2024-01-09 14:46:01.744922
