SK|RESULT_CACHE|RESULT_CACHE_TS
3645|The sell-thru for HOME in COLUMBUS,IN is 49.1%.|2023-08-30 17:54:22.766468
3646|The sell-thru for HOME in EUGENE,OR is 45.7%.|2023-08-30 17:54:22.884763
3647|The sell-thru for HOME in NEWORLEANS,LA is 45.9%.|2023-08-30 17:54:22.987408
3648|The sell-thru for HOME in BIRMINGHAM,AL is 47.8%.|2023-08-30 17:54:23.104045
3649|The sell-thru for HOME in SAN DIEGO,CA is 43.3%.|2023-08-30 17:54:23.204392
3650|The sell-thru for HOME in HERSHEY,PA is 46.5%.|2023-08-30 17:54:23.308119
3651|The sell-thru for HOME in ELPASO,TX is 46.8%.|2023-08-30 17:54:23.419036
3652|The sell-thru for HOME in LANCASTER,PA is 47.1%.|2023-08-30 17:54:23.497670
3653|The sell-thru for HOME in MIDDLETOWN,WV is 42.6%.|2023-08-30 17:54:23.608215
3654|The sell-thru for HOME in SEATTLE,WA is 45.8%.|2023-08-30 17:54:23.712116
3655|The sell-thru for HOME in PITTSBURGH,PA is 44.1%.|2023-08-30 17:54:23.832067
3656|The sell-thru for HOME in KOKOMO,IN is 45.3%.|2023-08-30 17:54:23.943406
3657|The sell-thru for HOME in PHILADELPHIA,PA is 47.8%.|2023-08-30 17:54:24.040351
3658|The sell-thru for HOME in YORK,PA is 46.5%.|2023-08-30 17:54:24.132897
3659|The sell-thru for HOME in HUNTSVILLE,AL is 46.3%.|2023-08-30 17:54:24.228322
3660|The sell-thru for HOME in DALLAS,TX is 45.8%.|2023-08-30 17:54:24.318012
3661|The sell-thru for HOME in EUREKA,CA is 47.5%.|2023-08-30 17:54:24.431130
3662|The sell-thru for HOME in TACOMA,WA is 44.9%.|2023-08-30 17:54:24.545845
3663|The sell-thru for HOME in PERU,IL is 44.9%.|2023-08-30 17:54:24.634422
3664|The sell-thru for HOME in HARTFORD,CT is 46.7%.|2023-08-30 17:54:24.731037
